album_uri|album_name
0h2knr6qpiAq0tV5ri5JMF|The Days / Nights
7JtT7OyWM8BnIS5FXXPMKg|Emmanuel
1QtYnYj7SFX1EIqF6ALjaX|Índigo
5Bh6CHXpl4slkIihdDKIcn|u love u (with Tate McRae)
45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
3oIFxDIo2fwuk4lwCmFZCx|No.6 Collaborations Project
6c94J2yum9wHxmbSB27YXE|You'll Understand
5PO2cqkBjAUOSHdxSDJOL4|Good Life (with G-Eazy & Kehlani)
0hgt3tZlHEGukN56ueTGcL|Hurts 2B Human
6trNtQUgC8cgbWcqoMYkOR|beerbongs & bentleys
6FfydthOJNOSCM8BeSqKh3|Dinero
2mX8ktJoWvyidWBU9U8Jis|Colores
6645HGh7ZOZSUTpqW9iYLR|AM
5awrJZBt3rP9RO5hlYdZB0|19
3KjXg0MDej2pG9fv6I22lT|Never Really Over
2QGcICCnguCa8ovMHUMs3q|Juliette
0JGOiO34nwfUdDrD612dOp|Happier Than Ever
5Tbq0fPPFF0NTu9JAp7TPX|Rake It Up
464FQ8gr0oKlQ1a0TCK4Yj|Amanece
5pK7kqzGXSY7xoLMhfHlql|In My Head
6MuWCR3WPjwyKhqsTKLZ3z|Feel Something
27G11z8Aco6n1IAbONn0ES|Devil's Night EP
2qGpT0C22qkBM2KLziCMGC|Places
26d9EFfi2YSvhQv7KKcrNw|State of Emergency
287ZdmXv5M5YH5xxdGLhbY|Sensualidad
2xZhidR4y5OPpCRYF09XB4|Only Wanna Be With You (Pokémon 25 Version)
6smIdnnGseiA4jiEcOjcic|Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix]
1lXY618HWkwYKJWBRYR4MK|More Life
05c49JgPmL4Uz2ZeqRx5SP|Chromatica
3RxVKjwKfqK9iZWArQbPEY|FIND MY WAY
3U3FSuGS2CXktQD4fU78gM|BMW
0bJIHF1Or1YBLFBMwv53K2|Hotel Diablo
0pAF4Jr6MPQ2u0vqG2VOjd|Solar Power
