artist_name|artist_uri
Hugh Hardie|0ZlH3VG6iAeC1KVzNz6rqW
Chase & Status|3jNkaOXasoc7RsxdchvEVq
Flume|6nxWCVXbOlEVRexSbLsTer
Dawn Wall|6gnohqGISFUVpTSqT3TtiO
Nu:Logic|5pL8Q5xbDLEDE6JvYMXX9u
BOP|02ZCVD3nqfqNId8lvpvCBb
Leon Vynehall|2o7L9DNcmzocYll1o0GGTU
Nu:Tone|7pDBRy9uWy1zq5b0uXIABQ
Moomin|5GyUtaUuEnR7uhRF3jDj4s
Technimatic|1LhB1j0Zq3tjBeG3k8gq7V
Laurence Guy|1PTEiCpkzNkLNgMi1LL8JR
Chaos In The CBD|0QOQc6jEsPX5Y45TV0hXQy
Fred V & Grafix|1wzBqAvtFexgKHjt7i3ena
DJ Seinfeld|37YzpfBeFju8QRZ3g0Ha1Q
George FitzGerald|3KOHpygRuo1ruQAbEneR3t
Netsky|5TgQ66WuWkoQ2xYxaSTnVP
High Contrast|0bxHci3JIhhKA53n8rH3tT
BCee|3wdwWQXJbqpJJbMdp7KfEJ
Drake|3TVXtAsR1Inumwj472S9r4
Mohican Sun|7LzWa2AUty3RU0znyhG70N
Pola & Bryson|79PzyYqAyunWsVH4tY4vpr
Alix Perez|4e6pQ61gYReORJoXcrQH1Z
Phaction|33CVzI4YFK6YBZsuxjKhHR
Special Request|59xdAObFYuaKO2phzzz07H
Joy Orbison|0aIpJqqTLf683ojWREc5lg
Logistics|01K8GEMGGxtrQ4xjDmNLPs
Black Loops|6AwGe2F49hD3ANXvmOwqQB
Kessler|3p0aq3vKGFP6N7rDc0UhJC
Ross from Friends|1Ma3pJzPIrAyYPNRkp3SUF
S.P.Y|6aJAd8zM1s3Slw64KfsmaF
AJ Tracey|4Xi6LSfFqv26XgP9NKN26U
Calibre|0sklgkoO5JeS7YNhHS5EmH
LSB|7M5ogsZnEm96Va8wLKvftN
Bicep|73A3bLnfnz5BoQjb4gNCga
The White Stripes|4F84IBURUo98rz4r61KF70
Lenzman|4IKdJSimREJMIKDfvYvJHF
Whiney|4YTBo7qadslqj8V8FMRuqK
Artificial Intelligence|3dfQn1ijJNptfREJB2rRd2
Crazy P|6jOz2B9qeID4dLP1o8bFGf
Sinjin Hawke|5qKCgbxBDmDc9Ckgmt4EaN
Pendulum|7MqnCTCAX6SsIYYdJCQj9B
Baltra|2tEyBfwGBfQgLXeAJW0MgC
Sub Focus|0QaSiI5TLA4N7mcsdxShDO
Peggy Gou|2mLA48B366zkELXYx7hcDN
Shanti Celeste|3CkM2290WOa2ESzhlu5mzM
Floating Points|2AR42Ur9PcchQDtEdwkv4L
Route 8|6gkHVRYMMXviNI4DglaLrr
HNNY|6Yae9Ia1nq6JLLojBzwN1r
Etherwood|3GEUIa3Z0Qlivy3EcJm5RX
Maduk|6TaaqqCMRMSpvNHClfnbEL
Ed Sheeran|6eUKZXaKkcviH0Ku9w2n3V
Howard Shore|0OcclcP5o8VKH2TRqSY2A7
Parcels|3oKRxpszQKUjjaHz388fVA
Jordan Rakei|24icoQNJSEWNu3XvqKBR68
Everything Everything|1HOeqtP7tHkKNJNLzQ2tnr
Hans Zimmer|0YC192cP3KPCRWx8zr8MfZ
Westerman|09s6bLEw45wioK9ytf3nsA
Arlo Parks|4kIwETcbpuFgRukE8o7Opx
Imagine Dragons|53XhwfbYqKCa1cC15pYq2q
Jungle|59oA5WbbQvomJz2BuRG071
Mumford & Sons|3gd8FJtBJtkRxdfbTu19U2
HAUSER|2iSn12gFykgv92aTvPiH4s
League of Legends|47mIJdHORyRerp4os813jD
Lord Huron|6ltzsmQQbmdoHHbLZ4ZN25
Loyle Carner|4oDjh8wNW5vDHyFRrDYC4k
Nathaniel Drew X Tom Fox|6WYhTsOkDtjLcZlwSrpBGm
Young the Giant|4j56EQDQu5XnL7R3E9iFJT
Alexis Ffrench|58R31AvN8JMHM7xkNpVLjX
Klaus Badelt|03GruNQP8X25PCoWzdvIGZ
Coldplay|4gzpq5DPGxSnKTe4SA8HAU
Ramin Djawadi|1hCkSJcXREhrodeIHQdav8
Karin Borg|0mWi0Jr9Ir8GPGVBpQqI1W
Little Comets|7cfhZmKaLWzNLwHDxzugUH
Tom Misch|1uiEZYehlNivdK3iQyAbye
Two Door Cinema Club|536BYVgOnRky0xjsPT96zl
Thomas Newman|1csBgT42N4pPPs1HJhxXIK
Patrik Pietschmann|5HxKnkQbaDADLFl2ZOAKqk
Ludovico Einaudi|2uFUBdaVGtyMqckSeCl0Qj
Of Monsters and Men|4dwdTW1Lfiq0cM8nBAqIIz
John Williams|3dRfiJ2650SZu6GbydcHNb
Johannes Bornlöf|1yLIaxyVkZnLMXhfRSYEjV
Khruangbin|2mVVjNmdjXZZDvhgQWiakk
Billy Joel|6zFYqv1mOsgBRQbae3JJ9e
James Horner|3PhL2Vdao2v8SS8AptuhAr
Phil Collins|4lxfqrEsLX6N1N4OCSkILp
Alexandre Desplat|71jzN72g8qWMCMkWC5p1Z0
The Wombats|0Ya43ZKWHTKkAbkoJJkwIB
Stormzy|2SrSdSvpminqmStGELCSNd
Flyte|3ZKyADicHqelBDeADLutiu
Nilüfer Yanya|09kXLeOXRyfNQMXRaDO4qA
Lang Lang|1YZhNFBxkEB5UKTgMDvot4
Ludwig Goransson|24eDfi2MSYo3A87hCcgpIL
John Powell|3EAHF3jdnHHdko5DBrhRUP
Post Malone|246dkjvS1zLTtiykXe5h60
Glass Animals|4yvcSjfu4PC0CYQyLy4wSq
Billie Eilish|6qqNVTkY8uBg9cP3Jd7DAH
Isaac Delusion|2HGAZDmVV3GAH4XFAZdvSG
Roosevelt|4AQrqVz6BYwy29iMxcGtx7
James Bay|4EzkuveR9pLvDVFNx6foYD
Michael Giacchino|4kLvhMAuCloLxoP1aVM7Lr
Kanye West|5K4W6rqBFWDnAN6FQUkS6x
MJ Duke|4FqWInziQnhpDVKaMLAzkY
Potter Payper|7bZpYWk0ZZN7CkOeXbAY0Z
Spencer Flay|46IxhJGbFfxwNEUu0GKfUQ
Blade Brown|4E0mDf341TLViBbNefSrsK
JAY-Z|3nFkdlSjzX9mRTtwJOzDYB
Chance the Rapper|1anyVhU62p31KFi8MEzkbf
Sigma|01pKrlgPJhm5dB4lneYAqS
Hybrid Minds|05lF0DUkLJqiW5o70SScyR
Rameses B|06EfEcjc0vdvI6VNL0soIO
Modjo|0AkpPlFLnr0VQwZQeMGht0
Kornél Kovács|0Ij7th9uWcDVYNAIOn5W22
L U C Y|0L18KxnMWgXorB5oVDRGzR
Floorplan|0RBnTX5xoVa1bDYt9Qbies
Kllo|0RDC2Krd2nmqseGx5C8PQz
Wretch 32|0T2sGLJKge2eaFmZJxX7sq
Julio Bashmore|0WAZJYudbUpl0EOjvdrnRG
Max Cooper|0WSSKmoRbxqLf3MnXInQ2J
Ellie Goulding|0X2BH1fck6amBIoJhDVmmJ
Trash Boat|0XGJ3GUPwslwFJ66yNbHeh
Main Phase|0cVit0XTp4KB738vqWkUZ3
Zomby|0e1hn6R8UCfLkpHINwAyXR
Lille Høg|0khgxZqgfp5izZVxScEHpm
Professor Green|0oJM3iJjMdzgsd4z5VHQvw
HAAi|0pkLgeB9j465x1QB2kRoy4
Shadow Child|0tMr0e1EQZ0Vci7EHz2bM9
Jacques Greene|0ygIgsjUzKivFgxgjQ9iV9
Deborah de Luca|144HzhpLjcR9k37w5Ico9B
Carl Cox|19SmlbABtI4bXz864MLqOS
Daniel Avery|1EULJuDFWpZ9xg4YwtUGGt
The Chemical Brothers|1GhPHrq36VKCY3ucVaZCfo
CAZZETTE|1IELhvOMg5VQlU7syRm6CS
Dark0|1Jehpab4kMvjrpsHcBtYHR
SBTRKT|1O10apSOoAPjOu6UhUNmeI
Helsinki 78-82|1PlMy2Dkgz9akpHj0MfixR
GLXY|1U8nnmbuPk1EpoO7MVgIeT
