artist_name|artist_uri|album_name|album_uri
Hugh Hardie|0ZlH3VG6iAeC1KVzNz6rqW|Shadows & Silhouettes|76fjFCjvGJzelaxyCvhEO8
Uk Apache|0YE17nrGKTk37bcKpKVUvi|Original Nuttah 25|3CDghMhp5uTwVQVZ9vBVm5
Dawn Wall|6gnohqGISFUVpTSqT3TtiO|Devil's Night EP|27G11z8Aco6n1IAbONn0ES
Dawn Wall|6gnohqGISFUVpTSqT3TtiO|Problems EP|1amLyWl36hRU5XtkeoyfF3
Mohican Sun|7LzWa2AUty3RU0znyhG70N|Dead Sea|5vYTPuVhnFLxxcDXjORSV9
Moomin|5GyUtaUuEnR7uhRF3jDj4s|A Minor Thought|0bxwH4IfXTXYmpiC2rIfFA
Dawn Wall|6gnohqGISFUVpTSqT3TtiO|You Remember|54bPKBXzQ1YQDaUq3MSJsE
Ghetts|7zJL978NtANOysfGY21ty6|Mozambique (feat. Jaykae & Moonchild Sanelly)|3NmI81gPs3Z5OLaOoiPoCf
Chaos In The CBD|0QOQc6jEsPX5Y45TV0hXQy|Café del Mar - Terrace Mix 9|7vQ6MMttiSoWnl0hi4aRks
Nu:Logic|5pL8Q5xbDLEDE6JvYMXX9u|Somewhere Between The Light|6MzcHgrr8goFUrmGdOrKb2
Technimatic|1LhB1j0Zq3tjBeG3k8gq7V|Better Perspective (Deluxe Edition)|2YdriHhMca5xF3xXo3VxuP
Whiney|4YTBo7qadslqj8V8FMRuqK|Teddy's Gate|6Bd0YjrFuAZzCYabCDaIOB
Athena|5zQVK5kEmMGuMqreKxjyNb|Take Flight|2Vmp8gBL6Lnc7XoQDrJFkD
Chase & Status|3jNkaOXasoc7RsxdchvEVq|RTRN II JUNGLE|5TL5mPJjOPiQCcZzEpfuaU
Subwave|19UDaks6aMVPdEp8qhO4T9|Subwave|2Pn8NcXjHC9SQDBsc97cWJ
Hugh Hardie|0ZlH3VG6iAeC1KVzNz6rqW|7 Tunes In 7 Days|3Q8bAO43wKNq74JebWBQ5s
Laurence Guy|1PTEiCpkzNkLNgMi1LL8JR|The Sun Is Warm and Directly Above You|4Udumqsv1U3QVeND9tqVp1
Leon Vynehall|2o7L9DNcmzocYll1o0GGTU|Midnight on Rainbow Road|0W0uMmLylBR5J967T9aWYi
Kessler|3p0aq3vKGFP6N7rDc0UhJC|Ambivalent|7dZYB94TjHB1Kub44SK9j9
BAKEY|49du30vgnQZT13tyjnrspT|Poison Dart|4IVVcdv4PghrHBrroHctI1
Netsky|5TgQ66WuWkoQ2xYxaSTnVP|Abbot Kinney|3H1ZzSXNWaIqiCpgHajR8F
Dawn Wall|6gnohqGISFUVpTSqT3TtiO|Longshanks|2xW3yWkUKGORKWR7JjVveX
DJ Seinfeld|37YzpfBeFju8QRZ3g0Ha1Q|Time Spent Away From U|5DlpzmONGJYLOUBcHvjfSM
Benita|49R1WTcCcbyOpl3g8YDJU6|Time for a Change|4reo75rXpm9ZpIrw5wK1y2
Leon Vynehall|2o7L9DNcmzocYll1o0GGTU|Butterflies / This is the Place|5JyzoQIeXel4bM8tHEwkfW
Dave|6Ip8FS7vWT1uKkJSweANQK|Thiago Silva|6JYMpRz7M9T2JlkjKHmsdc
Bicep|73A3bLnfnz5BoQjb4gNCga|Isles|0EdtTRCl3J22AnWrNpH1w9
Folamour|6pJY5At9SiMpAOBrw9YosS|Ordinary Drugs|3na24PKpM5Bh0xwvIcpPms
BOP|02ZCVD3nqfqNId8lvpvCBb|Dream On|58GqrBEuwUgc6bLCtjnaFt
Leon Vynehall|2o7L9DNcmzocYll1o0GGTU|Envelopes|1A6VtF2OjVmEKErfTrNZYJ
Ross from Friends|1Ma3pJzPIrAyYPNRkp3SUF|You'll Understand|6c94J2yum9wHxmbSB27YXE
Baltra|2tEyBfwGBfQgLXeAJW0MgC|Rearview EP|1meEABy5Nr83dO5CZ3Qf5u
Hugh Hardie|0ZlH3VG6iAeC1KVzNz6rqW|Colourspace|6flyNGuaD68IYuEVNGwqkh
Shanti Celeste|3CkM2290WOa2ESzhlu5mzM|Tangerine|4olQWXC3W8iaZfzGyzkN0Y
Moomin|5GyUtaUuEnR7uhRF3jDj4s|The Story About You|120ozXpjN4VsLf74eVQ8TO
Mohican Sun|7LzWa2AUty3RU0znyhG70N|Fixation|0nMSpPdITwRrpzvBBjVByd
George FitzGerald|3KOHpygRuo1ruQAbEneR3t|Fading Love|1v6BipCE7YBMOBcAN0j0EH
Hugh Hardie|0ZlH3VG6iAeC1KVzNz6rqW|City Soul|2GlEPxglf73hK8VPTNuK3V
Nu:Tone|7pDBRy9uWy1zq5b0uXIABQ|Little Spaces|5Jd375gdtvoIJmrzc2aYJb
Phaction|33CVzI4YFK6YBZsuxjKhHR|Stratos EP|5F6QAb3h5OcviQtVJDd4tV
Bad Boy Chiller Crew|5SRr4ZJMoygWecytkIwlaV|BMW|3U3FSuGS2CXktQD4fU78gM
Tate McRae|45dkTj5sMRSjrmBSBeiHym|she's all i wanna be|51oWPUjnGhecw62V8LDXK8
Liilz|0PfJ0SW9UpzczeHL5hgdwL|Glad U Came (feat. ZieZie)|52JvEc5EDwgA854xVckQL9
Camila Cabello|4nDoRrQiYLoBzwC5BhVJzF|Bam Bam (feat. Ed Sheeran)|6FIMt58naoGYrOe4Wn2P3n
Tiësto|2o5jDhtHVPhrJdv3cEQ99Z|The Motto|278z9UXJaMNDH9Bel9uAxV
Charlie Puth|6VuMaDnrHyPL1p4EHjYLi7|Light Switch|6PBwTu4IgZMQNTKtrgxzZQ
