artist_name|genres
Hugh Hardie|drum and bass
Hugh Hardie|liquid funk
Chase & Status|dancefloor dnb
Chase & Status|drum and bass
Flume|australian dance
Flume|australian electropop
Flume|australian indie
Flume|downtempo
Flume|edm
Dawn Wall|drum and bass
Dawn Wall|liquid funk
Nu:Logic|drum and bass
Nu:Logic|liquid funk
Nu:Logic|uk dnb
BOP|drum and bass
BOP|drumfunk
BOP|liquid funk
BOP|minimal dnb
BOP|russian dnb
Leon Vynehall|ambient house
Leon Vynehall|deep house
Leon Vynehall|electronica
Leon Vynehall|float house
Leon Vynehall|future garage
Leon Vynehall|microhouse
Leon Vynehall|uk house
Nu:Tone|drum and bass
Nu:Tone|jump up
Nu:Tone|liquid funk
Nu:Tone|uk dnb
Moomin|deep house
Moomin|float house
Technimatic|dancefloor dnb
Technimatic|drum and bass
Technimatic|liquid funk
Laurence Guy|deep house
Laurence Guy|disco house
Laurence Guy|electronica
Laurence Guy|float house
Laurence Guy|indie soul
Chaos In The CBD|deep house
Chaos In The CBD|electronica
Chaos In The CBD|float house
Chaos In The CBD|future garage
Chaos In The CBD|indie soul
Chaos In The CBD|jazz house
Chaos In The CBD|nz electronic
Fred V & Grafix|dancefloor dnb
Fred V & Grafix|drum and bass
Fred V & Grafix|liquid funk
DJ Seinfeld|deep house
DJ Seinfeld|electronica
DJ Seinfeld|float house
DJ Seinfeld|lo-fi house
George FitzGerald|electronica
George FitzGerald|future garage
George FitzGerald|indie soul
George FitzGerald|uk bass
Netsky|belgian edm
Netsky|dancefloor dnb
Netsky|drum and bass
High Contrast|drum and bass
High Contrast|uk dance
High Contrast|uk dnb
BCee|drum and bass
BCee|liquid funk
BCee|uk dnb
Drake|canadian hip hop
Drake|canadian pop
Drake|hip hop
Drake|rap
Drake|toronto rap
Mohican Sun|liquid funk
Pola & Bryson|drum and bass
Pola & Bryson|liquid funk
Alix Perez|belgian edm
Alix Perez|drum and bass
Alix Perez|drumfunk
Alix Perez|halftime dnb
Alix Perez|jungle
Alix Perez|liquid funk
Alix Perez|neurofunk
Phaction|jazzy dnb
Phaction|uk dnb
Special Request|breaks
Special Request|float house
Special Request|future garage
Special Request|outsider house
Special Request|uk bass
Joy Orbison|deep house
Joy Orbison|electronica
Joy Orbison|float house
Joy Orbison|future garage
Joy Orbison|microhouse
Joy Orbison|uk bass
Joy Orbison|wonky
Logistics|drum and bass
Logistics|jump up
Logistics|liquid funk
Logistics|uk dnb
Black Loops|deep house
Black Loops|disco house
Black Loops|float house
Kessler|
Ross from Friends|deep house
Ross from Friends|electronica
Ross from Friends|float house
Ross from Friends|lo-fi house
S.P.Y|brazilian dnb
S.P.Y|drum and bass
S.P.Y|jump up
S.P.Y|jungle
S.P.Y|liquid funk
S.P.Y|uk dnb
AJ Tracey|grime
AJ Tracey|uk hip hop
AJ Tracey|ukg revival
Calibre|drum and bass
Calibre|drumfunk
Calibre|jazzy dnb
Calibre|liquid funk
Calibre|uk dnb
LSB|drum and bass
LSB|jazzy dnb
LSB|liquid funk
Bicep|ambient house
Bicep|electronica
The White Stripes|alternative rock
The White Stripes|blues rock
The White Stripes|detroit rock
The White Stripes|garage rock
The White Stripes|modern blues rock
The White Stripes|modern rock
The White Stripes|permanent wave
The White Stripes|punk blues
The White Stripes|rock
Lenzman|drum and bass
Lenzman|drumfunk
Lenzman|dutch dnb
Lenzman|jazzy dnb
Lenzman|liquid funk
Whiney|drum and bass
Whiney|liquid funk
Whiney|uk dnb
Artificial Intelligence|deep dnb
Artificial Intelligence|drum and bass
Artificial Intelligence|drumfunk
Artificial Intelligence|jump up
Artificial Intelligence|liquid funk
Artificial Intelligence|uk dnb
Crazy P|deep disco house
Crazy P|deep house
Crazy P|disco house
Crazy P|electronica
Crazy P|indie soul
Crazy P|nu disco
Crazy P|vocal house
Sinjin Hawke|proto-hyperpop
Sinjin Hawke|vapor house
Pendulum|australian dance
Pendulum|dancefloor dnb
Pendulum|drum and bass
Baltra|deep house
Baltra|float house
Baltra|lo-fi house
Sub Focus|dancefloor dnb
Sub Focus|drum and bass
Sub Focus|uk dance
Sub Focus|uk dnb
Peggy Gou|electra
Peggy Gou|float house
Shanti Celeste|electra
Shanti Celeste|float house
Shanti Celeste|fluxwork
Floating Points|electronica
Floating Points|microhouse
Floating Points|uk bass
Route 8|float house
Route 8|lo-fi house
HNNY|deep house
HNNY|electronica
HNNY|indie jazz
HNNY|indie soul
HNNY|swedish electronic
HNNY|swedish house
HNNY|swedish synthpop
Etherwood|chillstep
Etherwood|deep liquid
Etherwood|drum and bass
Etherwood|liquid funk
Maduk|chillstep
Maduk|dancefloor dnb
Maduk|drum and bass
Maduk|dutch dnb
Maduk|liquid funk
Ed Sheeran|pop
Ed Sheeran|uk pop
Howard Shore|canadian classical
Howard Shore|canadian soundtrack
Howard Shore|middle earth
Howard Shore|orchestral soundtrack
Howard Shore|scorecore
Howard Shore|soundtrack
Howard Shore|video game music
Parcels|aussietronica
Parcels|indie soul
Jordan Rakei|alternative r&b
Jordan Rakei|indie jazz
Jordan Rakei|indie r&b
Jordan Rakei|indie soul
Jordan Rakei|neo r&b
Jordan Rakei|soul
Everything Everything|alternative dance
Everything Everything|experimental pop
Everything Everything|indie rock
Everything Everything|modern alternative rock
Everything Everything|modern rock
Everything Everything|new rave
Hans Zimmer|german soundtrack
Hans Zimmer|orchestral soundtrack
Hans Zimmer|soundtrack
Westerman|uk alternative pop
Arlo Parks|indie soul
Arlo Parks|uk contemporary r&b
Imagine Dragons|modern rock
Imagine Dragons|rock
Jungle|indie soul
Jungle|uk contemporary r&b
Mumford & Sons|modern folk rock
Mumford & Sons|modern rock
Mumford & Sons|pop rock
Mumford & Sons|stomp and holler
Mumford & Sons|uk americana
HAUSER|classical cello
League of Legends|speedrun
League of Legends|video game music
Lord Huron|indie folk
Lord Huron|stomp and holler
Loyle Carner|indie soul
Loyle Carner|london rap
Loyle Carner|uk alternative hip hop
Nathaniel Drew X Tom Fox|
Young the Giant|modern alternative rock
Young the Giant|modern rock
