track_uri|track_name|artist_uri|artist_name|album_uri|album_name|popularity|danceability|energy|speechiness|instrumentalness|tempo|acousticness|duration_ms|key|liveness|loudness|mode|time_signature|valence
3ZqqHOM10rD7y3G6bxDXTv|Just A Notion|0LcJLqbBmaGUft1e9Mm8HV|ABBA|0uUtGVj0y9FjfKful7cABY|Voyage|61|0.584|0.795|0.0287|0.000361|131.997|0.259|211933|0|0.302|-5.705|1|4|0.83
56AMYGJzxBO6p8v0wEe9de|Hot (Remix) [feat. Gunna and Travis Scott]|50co4Is1HCEo8bhOyUWKpn|Young Thug|7hXWMVDn9SVV7zNYiQGvWO|Hot (Remix) [feat. Gunna and Travis Scott]|69|0.845|0.631|0.216|0.0|111.983|0.188|279907|7|0.0806|-8.206|0|4|0.545
4pnIUqhf1AQMFrJPd4BbrT|Ballin Flossin|1anyVhU62p31KFi8MEzkbf|Chance the Rapper|7bgi7zCoDsZdlLKPonHZqP|The Big Day|54|0.926|0.498|0.0899|2.92e-06|125.008|0.0259|169549|11|0.492|-7.931|0|4|0.766
2hA6oxAuJI94AydLWQ2qEU|Feel Alone|4MCBfE4596Uoi2O4DtmEMz|Juice WRLD|07tZDCAqxSIVEZywk0KDfT|Fighting Demons|54|0.619|0.622|0.0461|0.0|150.062|0.0935|230094|6|0.226|-5.874|0|4|0.194
7aZusA4cWXz3Wv9e9uhavz|Quer Voar|5nP8x4uEFjAAmDzwOEc9b8|Matuê|7JtB0tcIiJn1gJhDbCCL0e|Quer Voar|79|0.806|0.595|0.246|0.0|82.492|0.138|187636|8|0.0882|-6.166|0|4|0.677
3XF5xLJHOQQRbWya6hBp7d|you should see me in a crown|6qqNVTkY8uBg9cP3Jd7DAH|Billie Eilish|0S0KGZnfBGSIssfF54WSJh|WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?|80|0.678|0.533|0.186|0.219|150.455|0.462|180953|4|0.139|-10.485|1|4|0.323
7dQFpbs34ufIEU745DVclf|Aute Cuture|7ltDVBr6mKbRvohxheJ9h1|ROSALÍA|23irnvaijPHVE7682D4G3f|Aute Cuture|66|0.747|0.643|0.178|0.00894|99.981|0.0756|147626|7|0.355|-6.991|1|4|0.538
0b18g3G5spr4ZCkz7Y6Q0Q|Rasputin|6QMABvTzixnxzsLYyhqRxI|Majestic|6PzYuR9c0CYCPJTnqylPhd|Rasputin|85|0.758|0.913|0.113|6.92e-05|128.04|0.00364|186210|6|0.193|-2.926|0|4|0.658
0yYwS7CXKIPC4kWPvZQfsT|No Way!|4GvEc3ANtPPjt1ZJllr5Zl|Bazzi|4ZKdRW0AH9sxV09NmWsTkW|Soul Searching|58|0.665|0.709|0.0407|0.0|76.058|0.174|112105|1|0.142|-4.117|0|4|0.357
6B3zy3LOKHndqsviCr2z15|Em Calls Paul - Skit|7dGJo4pcD2V6oG8kP0tJRR|Eminem|3HNnxK7NgLXbDoxRZxNWiR|Kamikaze|59|0.707|0.314|0.747|0.0|104.014|0.977|49024|6|0.109|-10.115|0|4|0.602
5KhFaq45chTw8RGfWo8T8J|BILLY|7gZfnEnfiaHzxARJ2LeXrf|6ix9ine|1ubczeMvCrPHbSEjgfu4a7|Day69: Graduation Day|70|0.764|0.711|0.288|0.0|90.076|0.175|112667|4|0.105|-3.818|0|4|0.774
550rQQCGkrTzvp4SfpOPzx|Hallelujah|26AHtbjWKiwYzsoGoUZq53|Pentatonix|3oXvzShPN8iY2P1UYl3WVJ|A Pentatonix Christmas|67|0.322|0.377|0.0356|0.0|118.669|0.454|268960|7|0.338|-7.385|0|4|0.366
5eDvChP4WAPPrtaQeI9MhT|Beer Never Broke My Heart|718COspgdWOnwOFpJHRZHS|Luke Combs|4NiEW0J6PCsvdxS2ocAqtd|Beer Never Broke My Heart|0|0.54|0.863|0.0481|0.0|77.0|0.0138|186800|1|0.0871|-4.483|1|4|0.64
56d6kYZhfhzpoC3s1dRU2V|I Was Never There|1Xyo4u8uXC1ZmMpatF05PJ|The Weeknd|3iVFKUpkS32p2YcLMA02u6|My Dear Melancholy,|0|0.32|0.734|0.0331|0.000109|113.34|0.133|241067|10|0.165|-4.021|1|4|0.185
6xtcFXSo8H9BZN637BMVKS|Let You Love Me|5CCwRZC6euC8Odo6y9X8jr|Rita Ora|4INRJMYMJrSPsf5mbW26Fm|Let You Love Me|64|0.531|0.854|0.198|0.0|94.419|0.288|190000|10|0.0773|-3.149|1|4|0.456
6MWtB6iiXyIwun0YzU6DFP|Wow.|246dkjvS1zLTtiykXe5h60|Post Malone|5Dcz8PZHKuvTyjbqEPL5VM|Wow.|4|0.833|0.539|0.178|2.1e-06|99.947|0.163|149520|11|0.101|-7.399|0|4|0.385
