genres
drum and bass
liquid funk
dancefloor dnb
australian dance
australian electropop
australian indie
downtempo
edm
uk dnb
drumfunk
minimal dnb
russian dnb
ambient house
deep house
electronica
float house
future garage
microhouse
uk house
jump up
disco house
indie soul
jazz house
nz electronic
lo-fi house
uk bass
belgian edm
uk dance
canadian hip hop
canadian pop
hip hop
rap
toronto rap
halftime dnb
jungle
neurofunk
jazzy dnb
breaks
outsider house
wonky
""
brazilian dnb
grime
uk hip hop
ukg revival
alternative rock
blues rock
detroit rock
garage rock
modern blues rock
modern rock
permanent wave
punk blues
rock
dutch dnb
deep dnb
deep disco house
nu disco
vocal house
proto-hyperpop
vapor house
electra
fluxwork
indie jazz
swedish electronic
swedish house
swedish synthpop
chillstep
deep liquid
pop
uk pop
canadian classical
canadian soundtrack
middle earth
orchestral soundtrack
scorecore
soundtrack
video game music
aussietronica
alternative r&b
indie r&b
neo r&b
soul
alternative dance
experimental pop
indie rock
modern alternative rock
new rave
german soundtrack
uk alternative pop
uk contemporary r&b
modern folk rock
pop rock
stomp and holler
uk americana
classical cello
speedrun
indie folk
london rap
uk alternative hip hop
compositional ambient
neo-classical
background music
focus
british indie rock
jazz pop
indietronica
irish rock
northern irish indie
bow pop
folk-pop
metropopolis
neo-psychedelic
classic rock
folk rock
mellow gold
piano rock
singer-songwriter
soft rock
rock drums
french soundtrack
liverpool indie
english indie rock
indie pop
art pop
chamber psych
chinese classical performance
chinese classical piano
classical performance
classical piano
nordic soundtrack
british soundtrack
dfw rap
melodic rap
gauze pop
shiver pop
electropop
electro-pop francais
french indie pop
french indietronica
french psychedelic
new french touch
nouvelle chanson francaise
indie emo
vapor soul
neo mellow
chicago rap
east coast hip hop
conscious hip hop
pop rap
dance pop
house
pop dance
tropical house
complextro
electro house
gaming edm
melodic dubstep
filter house
experimental club
techno
bristol electronic
minimal techno
modular synth
tech house
alternative emo
anthem emo
pop punk
uk pop punk
deep dubstep
classic dubstep
footwork
uk garage
weightless
australian experimental
deep groove house
minimal tech house
canadian electronic
italian techno
schranz
uk tech house
ambient techno
intelligent dance music
big beat
breakbeat
rave
pop edm
progressive electro house
progressive house
deconstructed club
escape room
new isolationism
substep
dark techno
raw techno
swedish techno
belgian techno
vogue
russian electronic
russian techno
deep soul house
sambass
comic
post-teen pop
neo-singer-songwriter
dance rock
canadian contemporary r&b
glam rock
stomp pop
welsh rock
eau claire indie
melancholia
reading indie
australian psych
british singer-songwriter
oxford indie
pop r&b
indie surf
candy pop
pixie
pop emo
detroit hip hop
west coast rap
afroswing
boom bap
buffalo hip hop
upstate ny rap
north carolina hip hop
