track_name|track_uri|danceability|energy|speechiness|instrumentalness|tempo|acousticness|duration_ms|key|liveness|loudness|mode|time_signature|type|valence
Evening Red|2348FcMLdHj75PZ4hOsqI4|0.451|0.89|0.0513|0.872|174.007|0.00288|271725|5|0.354|-4.414|0|4|audio_features|0.0698
Raindrops|7d1B203ZmpqWL0pZhnbD5B|0.445|0.998|0.134|0.545|172.983|0.00427|227614|7|0.137|-3.972|1|4|audio_features|0.421
Original Nuttah 25 (feat. IRAH) - Chase & Status Remix|7CiZj5S4E5FVboR0yLVLzc|0.425|0.894|0.0762|1.56e-06|115.412|0.0258|223455|10|0.0996|-4.991|0|5|audio_features|0.171
Devil's Night|3ARH5hY1AP4ympexo2y3Lz|0.482|0.703|0.0494|0.841|174.992|0.000406|285257|2|0.123|-5.354|0|4|audio_features|0.0396
Never Say|5qG8gAytdGSbaa067yVhvv|0.434|0.795|0.0379|0.704|173.929|0.0424|293371|8|0.252|-6.066|1|4|audio_features|0.0489
Where Did You Go|0fzPAlrZUoYK6lpOSOzE6Q|0.501|0.833|0.0452|0.663|175.042|0.00229|315269|9|0.127|-3.531|0|4|audio_features|0.058
A Deeper Blue|3LRyhfrFZXqiEdoZDIZvla|0.555|0.91|0.0726|0.906|173.983|0.00055|251121|10|0.0703|-3.785|0|4|audio_features|0.323
Loop No 1|02G42teKnMwPwDFEKUfdct|0.83|0.522|0.0776|0.877|121.998|0.000727|372042|0|0.075|-12.324|0|4|audio_features|0.716
Behind The Reels|1XPh2hWC27Sia7IZFTZkPo|0.589|0.869|0.088|0.68|169.997|0.00105|255291|10|0.0667|-4.697|0|4|audio_features|0.286
If I Smiled|7rKNoKsC4wi2Bwbc6lhVzD|0.538|0.455|0.05|0.93|174.055|0.0709|275862|11|0.135|-7.395|1|4|audio_features|0.122
Mozambique (feat. Jaykae & Moonchild Sanelly) - Single Version|0M9jP4EU62RY40mQCxK8AT|0.536|0.593|0.265|0.0|134.793|0.19|249680|5|0.0786|-7.553|0|4|audio_features|0.157
Hydrate|0u5hYCAGKzgHb8YUDG4AGJ|0.704|0.571|0.0493|0.871|117.999|0.00905|382573|2|0.102|-13.454|1|4|audio_features|0.073
Dreamweaver|6lELbWT5sVFWJJwA7Bfgya|0.549|0.795|0.0457|0.773|174.012|9.51e-05|270248|8|0.538|-6.528|1|4|audio_features|0.34
Better Perspective|0PVl3xoTnriDSUbamlu9rT|0.586|0.908|0.0519|0.459|174.022|0.0022|275782|10|0.159|-4.479|1|4|audio_features|0.277
Teddy's Gate (feat. LaMeduza)|5IfzKJy3VKlCmHjdGN87dj|0.537|0.863|0.0521|0.199|175.02|6.09e-05|309943|10|0.211|-3.428|0|4|audio_features|0.077
Eunoia|1hEEZdKxqfH9xfJ8YukYpO|0.692|0.903|0.0885|0.925|169.99|0.00235|276686|10|0.0374|-5.999|0|4|audio_features|0.208
Shut Up|0m3BlycE25MlxHlOdesOi4|0.667|0.886|0.29|0.00189|177.1|0.09|242040|11|0.119|-3.853|1|4|audio_features|0.205
Senses|5Q0RbvROKEp7uCJZwTOE7h|0.526|0.658|0.105|0.772|171.957|0.0046|403284|1|0.104|-5.666|1|4|audio_features|0.191
Day 1: Back & Forth|5u0PzppKpWT7LGnDd0KskP|0.584|0.905|0.0774|0.827|174.015|0.00573|246307|2|0.101|-3.622|0|4|audio_features|0.698
Sun Goes Down|0Tn9FwyYf8Y3BbKjzD01Yp|0.664|0.517|0.0405|0.816|174.026|0.0233|271041|11|0.237|-6.343|0|4|audio_features|0.288
Untitled Needs|5FA3tfPhY3BSKr4vr9OVON|0.67|0.771|0.0314|0.924|126.006|0.0214|457627|7|0.108|-9.995|0|4|audio_features|0.54
Cool N Crisp|2QkUKRYvZyNkfRFhpSXA2y|0.586|0.951|0.0891|0.00917|86.476|0.00799|246867|5|0.0569|-2.883|1|4|audio_features|0.484
Midnight on Rainbow Road|53jeGIP3iM5S1wYILdgVmq|0.477|0.846|0.0504|0.967|108.987|0.605|383673|5|0.281|-7.532|0|4|audio_features|0.144
Day 5: Ticker|5QJjFhViz26RwIO3EjsrGu|0.499|0.979|0.0906|0.905|131.962|0.000688|245617|11|0.066|-5.921|0|3|audio_features|0.198
Vrieselaan|2I3oHsoh7DL721UHeSWN6v|0.341|0.887|0.0579|0.784|129.984|0.00787|369231|5|0.0931|-7.905|0|4|audio_features|0.159
Poison Dart|0obrmAmV2GVxzIqcSVsvlD|0.648|0.975|0.304|0.332|159.812|0.000605|269640|6|0.436|-7.824|1|4|audio_features|0.382
Nobody (feat. Stargate)|474FoNvLOHk9ZTAs1Vd3Qu|0.377|0.695|0.0476|0.0301|127.904|0.0229|262507|11|0.0948|-7.894|0|4|audio_features|0.0645
Longshanks|07sTBtLTPxpn8WgDOQrO9L|0.571|0.862|0.0482|0.849|173.0|0.000518|297333|2|0.072|-3.893|0|4|audio_features|0.0446
I Saw Her Kiss Him in Front of Me and I Was Like Wtf?|1IMPC74Kr5PCOmhwdjC22j|0.73|0.947|0.19|0.9|124.982|0.142|311056|10|0.273|-8.635|0|4|audio_features|0.781
Time for a Change|2aNOkWge7L1IubHjS9dkgL|0.687|0.796|0.103|7.55e-05|121.263|0.00209|205664|0|0.137|-9.623|0|4|audio_features|0.608
Butterflies|5vWy90WX1eyfFUxnKcKSY9|0.693|0.916|0.0818|0.762|120.002|0.00151|449266|10|0.0503|-10.356|0|4|audio_features|0.562
Thiago Silva|3DKCTIiJ97bS9TGiqcABjo|0.667|0.673|0.323|4e-06|144.256|0.0641|201964|0|0.0975|-7.574|1|4|audio_features|0.669
Atlas|54TgI46OnNqcf0SyzQyCL6|0.544|0.793|0.0319|0.95|128.981|0.1|348307|3|0.173|-6.424|0|4|audio_features|0.126
These Are Just Places To Me Now|5kAwEqCAJ4yHdHmlAMSczs|0.767|0.733|0.0476|0.502|116.991|0.22|421700|0|0.0346|-9.414|0|4|audio_features|0.82
Haze|4v0xLhFpCwzMbkr3Pi4rFF|0.796|0.646|0.0735|0.859|129.981|0.0498|260062|3|0.153|-6.998|0|4|audio_features|0.392
Envelopes (Chapter VI) - Edit|3JDsYB8UxGbMQNnNlAeDL0|0.391|0.301|0.0327|0.736|71.017|0.441|241347|8|0.078|-10.752|1|4|audio_features|0.0714
Red Velvet|75G7fv2RaXXHhJquge8el4|0.466|0.769|0.037|0.818|174.015|0.00108|258498|5|0.185|-6.609|0|4|audio_features|0.605
Gettin' It Done|0s2HlRZzjWlhmfLdp4rDEy|0.843|0.704|0.0511|0.763|126.987|0.00406|306685|6|0.0997|-11.501|0|4|audio_features|0.888
O'Neal|4sWJCVOn705QUBCDt81bPB|0.877|0.579|0.521|0.881|125.984|0.548|354286|5|0.111|-11.503|0|4|audio_features|0.632
Emerald City|0Ti5dBBZUpK0XRb0iabhtI|0.399|0.949|0.0393|0.801|173.993|0.000116|315880|1|0.583|-6.225|1|4|audio_features|0.306
Infinitas|3NVuffIbZCOXgRsM4eS0fo|0.754|0.916|0.0532|0.852|136.989|0.000103|407360|11|0.277|-6.901|0|4|audio_features|0.641
Sesame|0fgdLj6TQmB6OV2zwaAndB|0.812|0.913|0.146|0.87|139.955|0.0361|358867|11|0.07|-7.833|0|4|audio_features|0.631
Doobies - Original Mix|3LcknqF77tB6aujEAEVjX2|0.69|0.475|0.0474|0.00145|119.011|0.0174|365507|11|0.343|-12.872|0|4|audio_features|0.159
Providence|3iEycGSA32xeOQnDltNTZk|0.602|0.718|0.0473|0.847|174.976|0.00028|316800|5|0.132|-3.679|0|4|audio_features|0.0468
About Time|4cpUsHfE4q4Amwkc2OO6xI|0.407|0.399|0.0488|0.612|172.516|0.538|220804|5|0.107|-11.698|0|3|audio_features|0.34
Weed & Rum|7s2ya9MwplKU6zogZYkxVH|0.83|0.788|0.274|0.0|87.965|0.0599|201920|11|0.0495|-5.565|0|4|audio_features|0.473
Shudder|3ci50Uo5nIeoS7vRFDolwJ|0.496|0.883|0.0413|0.831|174.001|3.44e-05|269655|1|0.195|-4.432|0|4|audio_features|0.242
One Day At A Time|5UanRSNw6tqDNqczV7SDqT|0.671|0.799|0.0626|0.657|173.996|0.0221|233095|6|0.0742|-4.433|1|4|audio_features|0.727
Lucid|2T0bSlNbNY8mFy1UbK1tTV|0.56|0.818|0.0464|0.614|174.02|0.00693|404680|0|0.271|-5.341|1|4|audio_features|0.305
Blinded|1eCyb7V10a2lqcA49JaHnU|0.435|0.91|0.0376|0.893|173.997|5.12e-05|248768|0|0.134|-4.447|1|4|audio_features|0.0396
BMW|0DeCgH8St1bnHVry9gecMp|0.726|0.818|0.136|0.0|138.01|0.448|213880|1|0.331|-5.538|0|4|audio_features|0.829
she's all i wanna be|0IuVhCflrQPMGRrOyoY5RW|0.614|0.644|0.0426|7.07e-06|160.036|0.0134|206772|2|0.117|-5.372|0|4|audio_features|0.651
Glad U Came (feat. ZieZie)|0P88fVbvRQGgRQN1GulQNy|0.75|0.531|0.0513|0.0|139.997|0.374|125143|2|0.107|-8.988|0|4|audio_features|0.663
Bam Bam (feat. Ed Sheeran)|0QBzMgT7NIeoCYy3sJCof1|0.756|0.697|0.0401|0.0|94.996|0.182|206071|8|0.333|-6.377|1|4|audio_features|0.956
Light Switch|1BSMpVGWs3v5BZKnAQziAc|0.69|0.626|0.306|0.000335|184.009|0.105|185681|6|0.0881|-5.693|1|4|audio_features|0.912
Seventeen Going Under|1Dp7ASSZVVOPJ85VdLpjOX|0.477|0.873|0.0355|0.00589|161.948|0.00471|302360|1|0.0813|-4.946|1|4|audio_features|0.611
In My Head|1HvTxgCj0mTzQlEo0zLvFb|0.684|0.545|0.121|0.0|143.049|0.159|135264|1|0.102|-6.885|1|4|audio_features|0.407
Come & Go|1jTrQnMziyawXMHjd6y4R1|0.671|0.715|0.206|0.0|142.852|0.0704|179580|5|0.131|-5.304|1|4|audio_features|0.568
Do It To It|20on25jryn53hWghthWWW3|0.854|0.806|0.0886|0.0542|124.927|0.0209|157890|11|0.0703|-8.262|0|4|audio_features|0.637
Gangsteritus|2Gg9UhRTym4rztR9vU0Pvu|0.514|0.53|0.329|0.0|82.9|0.353|222179|0|0.272|-7.787|0|3|audio_features|0.209
House On Fire|2iHsdUnmKGIuc9oRE3DfgJ|0.61|0.747|0.109|0.0|150.088|0.0245|140803|2|0.106|-4.543|1|4|audio_features|0.439
Reggae & Calypso (Russ Millions x Buni x YV)|3FMedgGsLUNwx8NciePFEK|0.759|0.803|0.277|0.0|140.994|0.413|141277|1|0.362|-6.77|0|4|audio_features|0.895
Numb Little Bug|3o9kpgkIcffx0iSwxhuNI2|0.742|0.527|0.0769|0.0|84.974|0.327|169238|8|0.25|-6.892|0|4|audio_features|0.638
Baby|3pudQCMnsFGwOElTZmuml8|0.769|0.868|0.214|0.0|103.909|0.194|177733|4|0.159|-5.772|0|4|audio_features|0.54
Bad Habits|3rmo8F54jFF8OgYsqTxm5d|0.807|0.893|0.0347|2.79e-05|126.011|0.0451|230747|11|0.366|-3.745|0|4|audio_features|0.537
Where Did You Go? (feat. MNEK)|3sa06xVNmLLYIxdNNmVQN8|0.763|0.782|0.0346|7.08e-06|127.034|0.182|177689|7|0.293|-4.541|0|4|audio_features|0.502
Where Are You Now|3uUuGVFu1V7jTQL60S1r8z|0.671|0.636|0.103|0.000411|120.966|0.515|148197|6|0.172|-8.117|0|4|audio_features|0.262
Make Me Feel Good|4CUX44NA1CPEzd0ibMLQsL|0.773|0.74|0.0386|0.00183|124.014|0.0627|197473|7|0.0829|-8.169|0|4|audio_features|0.504
Peru|4hJhHbkhZFnxmWbAkZRoe0|0.956|0.417|0.0926|0.00071|108.015|0.572|187111|7|0.0782|-7.892|0|4|audio_features|0.714
Beg For You (feat. Rina Sawayama)|50ZFpw2wS6ERvLmW8TINhq|0.788|0.945|0.0599|2.97e-06|128.036|0.223|168053|9|0.115|-5.091|1|4|audio_features|0.466
Starlight|531KGXtBroSrOX9LVmiIgc|0.954|0.367|0.288|5.48e-06|124.026|0.341|211935|4|0.0979|-9.551|0|4|audio_features|0.372
Down Under (feat. Colin Hay)|53O5nAlq04RKmSBqW0SFvG|0.308|0.86|0.168|0.000828|171.835|0.0116|158774|11|0.277|-4.111|0|4|audio_features|0.0387
Boyfriend|59CfNbkERJ3NoTXDvoURjj|0.345|0.612|0.0608|0.0|179.773|0.232|153000|7|0.194|-6.543|0|3|audio_features|0.232
Anyone For You (Tiger Lily)|5iFQfP3AqVnHHS89LKQisL|0.662|0.807|0.0411|3.55e-06|103.031|0.293|187682|10|0.189|-3.285|1|4|audio_features|0.772
Heat Waves|6CDzDgIUqeDY5g8ujExx2f|0.761|0.525|0.0944|6.7e-06|80.87|0.44|238805|11|0.0921|-6.9|1|4|audio_features|0.531
Used To This|6IlL9Xlnm0Oq6wXSe6TH9v|0.686|0.756|0.0374|0.0234|87.004|0.0314|226207|5|0.154|-3.888|0|4|audio_features|0.345
The Joker And The Queen (feat. Taylor Swift)|6N1K5OVVCopBjGViHs2IvP|0.528|0.309|0.0329|2.1e-06|133.83|0.924|185422|0|0.282|-7.398|1|4|audio_features|0.307
Run|6oYXbji1rn7U6bFuNYekpQ|0.601|0.879|0.0353|0.0|124.013|0.0313|188732|2|0.0793|-2.673|0|4|audio_features|0.589
Shivers|75MNhvTCCKsST3YqqUiU9r|0.788|0.859|0.0856|0.0|141.02|0.281|207853|2|0.0424|-2.724|1|4|audio_features|0.822
Night Away (Dance) (feat. Tion Wayne)|7z5G2LOdV8okZn4yWg3q5g|0.706|0.552|0.0833|0.0|142.037|0.235|175775|5|0.144|-9.479|0|4|audio_features|0.835
Clouds|3ie4EBzk6a4sdNOpWKhkeA|0.575|0.546|0.0668|1.4e-05|81.031|0.423|252347|0|0.124|-8.965|0|4|audio_features|0.444
Romeo (feat. Bas)|2t9bMYh6ZJGfAZPKJGnby0|0.752|0.636|0.0852|0.0|95.014|0.246|166200|3|0.36|-6.535|0|4|audio_features|0.733
I Want A Love Like This|5Fpn28eEVPqWLiwQmGmWpz|0.689|0.67|0.0364|0.0623|125.997|0.0198|207013|8|0.0796|-8.698|1|4|audio_features|0.442
Borderline|5rcGQIrv6eUIyCBfWga363|0.546|0.595|0.0441|0.000546|92.146|0.341|255240|5|0.0861|-7.305|1|4|audio_features|0.23
Once|633Oe7gtfWB8lq1Vxyiahm|0.317|0.298|0.0315|0.000125|84.721|0.653|279707|4|0.12|-10.439|1|3|audio_features|0.12
"Vivaldi: The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"|0ON4FYmS4Zch1NV0lhv9hX|0.473|0.211|0.0524|0.417|144.222|0.943|216160|5|0.06|-15.487|0|4|audio_features|0.237
The Line|5Io3OKuzK712xD001Hthzk|0.822|0.442|0.0358|0.0125|122.001|0.645|196773|0|0.108|-8.664|1|4|audio_features|0.523
NowIcaresomemore|2gXYLIrLrHVViRCnbh8kCQ|0.777|0.303|0.0365|0.194|155.958|0.959|179533|2|0.0937|-12.357|0|4|audio_features|0.873
Teletype|3HghfkXDzz7gYCo4Xir8vI|0.817|0.633|0.0458|0.00125|120.001|0.0302|220147|0|0.0718|-7.666|0|4|audio_features|0.731
Enemy (with JID) - from the series Arcane League of Legends|1r9xUipOqoNwggBpENDsvJ|0.728|0.783|0.266|0.0|77.011|0.237|173381|11|0.434|-4.424|0|4|audio_features|0.555
Somethinggreater|1Uxti0PEEdieT526B8dAxZ|0.687|0.636|0.038|0.00143|109.786|0.324|321467|1|0.0862|-10.198|0|4|audio_features|0.859
Family|6OnEsU4yuFEIuuK1pzZ0z5|0.436|0.639|0.0268|0.000444|167.933|0.306|207987|7|0.121|-6.602|0|4|audio_features|0.288
Caroline|6xTp4nC8NBRSYMxGqIikSh|0.596|0.576|0.039|0.0859|160.183|0.379|216933|10|0.107|-7.956|1|4|audio_features|0.494
What Could Have Been feat. Ray Chen (from the series Arcane League of Legends)|4Oih3RDrSFg3afaOphBVuy|0.428|0.288|0.0387|0.000968|110.218|0.578|213474|5|0.0795|-8.896|0|3|audio_features|0.159
Ottolenghi|64I9byMYBlS1ARsC3vtpgW|0.776|0.593|0.252|0.00616|94.97|0.327|197601|7|0.186|-10.535|1|4|audio_features|0.247
Comingback|6W1CYXq9pGEnNNCCW62xu8|0.526|0.719|0.0367|0.0113|141.909|0.769|311240|9|0.0906|-8.689|0|4|audio_features|0.223
