user|artist_name|artist_uri
1|Hugh Hardie|0ZlH3VG6iAeC1KVzNz6rqW
1|Chase & Status|3jNkaOXasoc7RsxdchvEVq
1|Flume|6nxWCVXbOlEVRexSbLsTer
1|Dawn Wall|6gnohqGISFUVpTSqT3TtiO
1|Nu:Logic|5pL8Q5xbDLEDE6JvYMXX9u
1|BOP|02ZCVD3nqfqNId8lvpvCBb
1|Leon Vynehall|2o7L9DNcmzocYll1o0GGTU
1|Nu:Tone|7pDBRy9uWy1zq5b0uXIABQ
1|Moomin|5GyUtaUuEnR7uhRF3jDj4s
1|Technimatic|1LhB1j0Zq3tjBeG3k8gq7V
1|Laurence Guy|1PTEiCpkzNkLNgMi1LL8JR
1|Chaos In The CBD|0QOQc6jEsPX5Y45TV0hXQy
1|Fred V & Grafix|1wzBqAvtFexgKHjt7i3ena
1|DJ Seinfeld|37YzpfBeFju8QRZ3g0Ha1Q
1|George FitzGerald|3KOHpygRuo1ruQAbEneR3t
1|Netsky|5TgQ66WuWkoQ2xYxaSTnVP
1|High Contrast|0bxHci3JIhhKA53n8rH3tT
1|BCee|3wdwWQXJbqpJJbMdp7KfEJ
1|Drake|3TVXtAsR1Inumwj472S9r4
1|Mohican Sun|7LzWa2AUty3RU0znyhG70N
1|Pola & Bryson|79PzyYqAyunWsVH4tY4vpr
1|Alix Perez|4e6pQ61gYReORJoXcrQH1Z
1|Phaction|33CVzI4YFK6YBZsuxjKhHR
1|Special Request|59xdAObFYuaKO2phzzz07H
1|Joy Orbison|0aIpJqqTLf683ojWREc5lg
1|Logistics|01K8GEMGGxtrQ4xjDmNLPs
1|Black Loops|6AwGe2F49hD3ANXvmOwqQB
1|Kessler|3p0aq3vKGFP6N7rDc0UhJC
1|Ross from Friends|1Ma3pJzPIrAyYPNRkp3SUF
1|S.P.Y|6aJAd8zM1s3Slw64KfsmaF
1|AJ Tracey|4Xi6LSfFqv26XgP9NKN26U
1|Calibre|0sklgkoO5JeS7YNhHS5EmH
1|LSB|7M5ogsZnEm96Va8wLKvftN
1|Bicep|73A3bLnfnz5BoQjb4gNCga
1|The White Stripes|4F84IBURUo98rz4r61KF70
1|Lenzman|4IKdJSimREJMIKDfvYvJHF
1|Whiney|4YTBo7qadslqj8V8FMRuqK
1|Artificial Intelligence|3dfQn1ijJNptfREJB2rRd2
1|Crazy P|6jOz2B9qeID4dLP1o8bFGf
1|Sinjin Hawke|5qKCgbxBDmDc9Ckgmt4EaN
1|Pendulum|7MqnCTCAX6SsIYYdJCQj9B
1|Baltra|2tEyBfwGBfQgLXeAJW0MgC
1|Sub Focus|0QaSiI5TLA4N7mcsdxShDO
1|Peggy Gou|2mLA48B366zkELXYx7hcDN
1|Shanti Celeste|3CkM2290WOa2ESzhlu5mzM
1|Floating Points|2AR42Ur9PcchQDtEdwkv4L
1|Route 8|6gkHVRYMMXviNI4DglaLrr
1|HNNY|6Yae9Ia1nq6JLLojBzwN1r
1|Etherwood|3GEUIa3Z0Qlivy3EcJm5RX
1|Maduk|6TaaqqCMRMSpvNHClfnbEL
2|Ed Sheeran|6eUKZXaKkcviH0Ku9w2n3V
3|Howard Shore|0OcclcP5o8VKH2TRqSY2A7
3|Parcels|3oKRxpszQKUjjaHz388fVA
3|Jordan Rakei|24icoQNJSEWNu3XvqKBR68
3|Everything Everything|1HOeqtP7tHkKNJNLzQ2tnr
3|Hans Zimmer|0YC192cP3KPCRWx8zr8MfZ
3|Westerman|09s6bLEw45wioK9ytf3nsA
3|Arlo Parks|4kIwETcbpuFgRukE8o7Opx
3|Imagine Dragons|53XhwfbYqKCa1cC15pYq2q
3|Jungle|59oA5WbbQvomJz2BuRG071
3|Mumford & Sons|3gd8FJtBJtkRxdfbTu19U2
3|HAUSER|2iSn12gFykgv92aTvPiH4s
