user|artist_uri|artist_name|total_followers|genres
1|0ZlH3VG6iAeC1KVzNz6rqW|Hugh Hardie|16472|['drum and bass', 'liquid funk']
1|3jNkaOXasoc7RsxdchvEVq|Chase & Status|616071|['dancefloor dnb', 'drum and bass']
1|6nxWCVXbOlEVRexSbLsTer|Flume|2253101|['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']
1|6gnohqGISFUVpTSqT3TtiO|Dawn Wall|29057|['drum and bass', 'liquid funk']
1|5pL8Q5xbDLEDE6JvYMXX9u|Nu:Logic|31892|['drum and bass', 'liquid funk', 'uk dnb']
1|02ZCVD3nqfqNId8lvpvCBb|BOP|14368|['drum and bass', 'drumfunk', 'liquid funk', 'minimal dnb', 'russian dnb']
1|2o7L9DNcmzocYll1o0GGTU|Leon Vynehall|75906|['ambient house', 'deep house', 'electronica', 'float house', 'future garage', 'microhouse', 'uk house']
1|7pDBRy9uWy1zq5b0uXIABQ|Nu:Tone|44003|['drum and bass', 'jump up', 'liquid funk', 'uk dnb']
1|5GyUtaUuEnR7uhRF3jDj4s|Moomin|22648|['deep house', 'float house']
1|1LhB1j0Zq3tjBeG3k8gq7V|Technimatic|36337|['dancefloor dnb', 'drum and bass', 'liquid funk']
1|1PTEiCpkzNkLNgMi1LL8JR|Laurence Guy|42728|['deep house', 'disco house', 'electronica', 'float house', 'indie soul']
1|0QOQc6jEsPX5Y45TV0hXQy|Chaos In The CBD|66736|['deep house', 'electronica', 'float house', 'future garage', 'indie soul', 'jazz house', 'nz electronic']
1|1wzBqAvtFexgKHjt7i3ena|Fred V & Grafix|71146|['dancefloor dnb', 'drum and bass', 'liquid funk']
1|37YzpfBeFju8QRZ3g0Ha1Q|DJ Seinfeld|57591|['deep house', 'electronica', 'float house', 'lo-fi house']
1|3KOHpygRuo1ruQAbEneR3t|George FitzGerald|110821|['electronica', 'future garage', 'indie soul', 'uk bass']
1|5TgQ66WuWkoQ2xYxaSTnVP|Netsky|434051|['belgian edm', 'dancefloor dnb', 'drum and bass']
1|0bxHci3JIhhKA53n8rH3tT|High Contrast|182848|['drum and bass', 'uk dance', 'uk dnb']
