user|track_uri|track_name|artist_uri|artist_name|album_uri|album_name
1|2348FcMLdHj75PZ4hOsqI4|Evening Red|0ZlH3VG6iAeC1KVzNz6rqW|Hugh Hardie|76fjFCjvGJzelaxyCvhEO8|Shadows & Silhouettes
1|7d1B203ZmpqWL0pZhnbD5B|Raindrops|0ZlH3VG6iAeC1KVzNz6rqW|Hugh Hardie|76fjFCjvGJzelaxyCvhEO8|Shadows & Silhouettes
1|7CiZj5S4E5FVboR0yLVLzc|Original Nuttah 25 (feat. IRAH) - Chase & Status Remix|0YE17nrGKTk37bcKpKVUvi|Uk Apache|3CDghMhp5uTwVQVZ9vBVm5|Original Nuttah 25
1|3ARH5hY1AP4ympexo2y3Lz|Devil's Night|6gnohqGISFUVpTSqT3TtiO|Dawn Wall|27G11z8Aco6n1IAbONn0ES|Devil's Night EP
1|5qG8gAytdGSbaa067yVhvv|Never Say|6gnohqGISFUVpTSqT3TtiO|Dawn Wall|1amLyWl36hRU5XtkeoyfF3|Problems EP
1|0fzPAlrZUoYK6lpOSOzE6Q|Where Did You Go|7LzWa2AUty3RU0znyhG70N|Mohican Sun|5vYTPuVhnFLxxcDXjORSV9|Dead Sea
1|3LRyhfrFZXqiEdoZDIZvla|A Deeper Blue|0ZlH3VG6iAeC1KVzNz6rqW|Hugh Hardie|76fjFCjvGJzelaxyCvhEO8|Shadows & Silhouettes
1|02G42teKnMwPwDFEKUfdct|Loop No 1|5GyUtaUuEnR7uhRF3jDj4s|Moomin|0bxwH4IfXTXYmpiC2rIfFA|A Minor Thought
1|1XPh2hWC27Sia7IZFTZkPo|Behind The Reels|0ZlH3VG6iAeC1KVzNz6rqW|Hugh Hardie|76fjFCjvGJzelaxyCvhEO8|Shadows & Silhouettes
1|7rKNoKsC4wi2Bwbc6lhVzD|If I Smiled|6gnohqGISFUVpTSqT3TtiO|Dawn Wall|54bPKBXzQ1YQDaUq3MSJsE|You Remember
1|0M9jP4EU62RY40mQCxK8AT|Mozambique (feat. Jaykae & Moonchild Sanelly) - Single Version|7zJL978NtANOysfGY21ty6|Ghetts|3NmI81gPs3Z5OLaOoiPoCf|Mozambique (feat. Jaykae & Moonchild Sanelly)
1|0u5hYCAGKzgHb8YUDG4AGJ|Hydrate|0QOQc6jEsPX5Y45TV0hXQy|Chaos In The CBD|7vQ6MMttiSoWnl0hi4aRks|Café del Mar - Terrace Mix 9
1|6lELbWT5sVFWJJwA7Bfgya|Dreamweaver|5pL8Q5xbDLEDE6JvYMXX9u|Nu:Logic|6MzcHgrr8goFUrmGdOrKb2|Somewhere Between The Light
1|0PVl3xoTnriDSUbamlu9rT|Better Perspective|1LhB1j0Zq3tjBeG3k8gq7V|Technimatic|2YdriHhMca5xF3xXo3VxuP|Better Perspective (Deluxe Edition)
